max 94, min 6, split 53, vert False 
max 94, min 6, split 45, vert False 
max 47, min 6, split 35, vert False 
max 94, min 6, split 48, vert True 
max 94, min 6, split 28, vert False 
max 94, min 6, split 40, vert True 
max 94, min 6, split 29, vert True 
max 94, min 6, split 10, vert True 
max 94, min 6, split 87, vert True 
max 94, min 6, split 32, vert True 
max 94, min 6, split 74, vert True 
max 41, min 6, split 34, vert False 
max 46, min 6, split 25, vert True 
max 94, min 6, split 18, vert True 
max 47, min 6, split 16, vert False 
max 94, min 6, split 60, vert True 
max 94, min 6, split 93, vert True 
max 94, min 6, split 62, vert True 
max 94, min 6, split 32, vert True 
max 94, min 6, split 46, vert True 
max 41, min 6, split 37, vert False 
max 46, min 6, split 39, vert True 
max 94, min 6, split 11, vert True 
max 66, min 6, split 44, vert False 
max 34, min 6, split 22, vert True 
max 54, min 6, split 9, vert True 
max 23, min 6, split 19, vert True 
max 41, min 6, split 20, vert False 
max 39, min 6, split 32, vert False 
max 84, min 6, split 35, vert True 
max 81, min 6, split 56, vert True 
max 49, min 6, split 9, vert False 
max 26, min 6, split 15, vert True 
max 62, min 6, split 56, vert True 
max 68, min 6, split 27, vert True 
max 20, min 6, split 16, vert True 
max 28, min 6, split 25, vert False 
max 42, min 6, split 26, vert True 
max 19, min 6, split 12, vert True 
max 21, min 6, split 7, vert True 
max 94, min 6, split 33, vert False 
max 94, min 6, split 36, vert True 
max 94, min 6, split 29, vert True 
max 94, min 6, split 73, vert True 
max 94, min 6, split 61, vert True 
max 94, min 6, split 24, vert True 
max 94, min 6, split 29, vert True 
max 41, min 6, split 25, vert False 
max 46, min 6, split 41, vert True 
max 94, min 6, split 49, vert True 
max 94, min 6, split 78, vert True 
max 34, min 6, split 14, vert True 
max 47, min 6, split 44, vert False 
max 41, min 6, split 34, vert False 
max 41, min 6, split 22, vert False 
max 39, min 6, split 21, vert False 
max 84, min 6, split 36, vert True 
max 81, min 6, split 71, vert True 
max 49, min 6, split 33, vert False 
max 26, min 6, split 24, vert True 
max 29, min 6, split 18, vert False 
max 68, min 6, split 15, vert True 
max 20, min 6, split 7, vert True 
max 28, min 6, split 25, vert False 
max 42, min 6, split 10, vert True 
max 19, min 6, split 18, vert True 
max 21, min 6, split 18, vert True 
max 94, min 6, split 26, vert False 
max 76, min 6, split 13, vert True 
max 94, min 6, split 59, vert True 
max 94, min 6, split 47, vert True 
max 54, min 6, split 6, vert True 
max 41, min 6, split 28, vert False 
max 87, min 6, split 77, vert True 
max 39, min 6, split 8, vert False 
max 49, min 6, split 16, vert False 
max 32, min 6, split 21, vert True 
max 29, min 6, split 18, vert False 
max 62, min 6, split 24, vert True 
max 40, min 6, split 33, vert True 
max 48, min 6, split 36, vert True 
max 31, min 6, split 16, vert False 
max 42, min 6, split 34, vert True 
max 33, min 6, split 28, vert True 
max 41, min 6, split 11, vert False 
max 22, min 6, split 12, vert False 
max 83, min 6, split 44, vert True 
max 94, min 6, split 44, vert True 
max 94, min 6, split 66, vert True 
max 47, min 6, split 40, vert False 
max 47, min 6, split 32, vert False 
max 47, min 6, split 28, vert False 
max 47, min 6, split 25, vert False 
max 41, min 6, split 25, vert False 
max 41, min 6, split 28, vert False 
max 65, min 6, split 7, vert True 
max 65, min 6, split 25, vert True 
max 26, min 6, split 14, vert False 
max 7, min 6, split 6, vert False 
max 39, min 6, split 8, vert False 
max 49, min 6, split 30, vert True 
max 50, min 6, split 48, vert True 
max 49, min 6, split 33, vert False 
max 3, min 6, split 5, vert False 
max 40, min 6, split 37, vert False 
max 29, min 6, split 26, vert False 
max 29, min 6, split 10, vert False 
max 50, min 6, split 20, vert True 
max 29, min 6, split 10, vert False 
max 12, min 6, split 9, vert False 
max 41, min 6, split 25, vert True 
max 10, min 6, split 9, vert True 
max 19, min 6, split 12, vert False 
max 42, min 6, split 14, vert True 
max 20, min 6, split 19, vert True 
max 7, min 6, split 6, vert False 
max 41, min 6, split 11, vert False 
max 41, min 6, split 14, vert False 
max 41, min 6, split 6, vert False 
max 41, min 6, split 27, vert False 
max 94, min 6, split 47, vert False 
max 94, min 6, split 23, vert True 
max 94, min 6, split 91, vert True 
max 94, min 6, split 47, vert True 
max 49, min 6, split 19, vert False 
max 94, min 6, split 44, vert True 
max 94, min 6, split 34, vert True 
max 42, min 6, split 23, vert True 
max 41, min 6, split 17, vert False 
max 94, min 6, split 23, vert True 
max 94, min 6, split 37, vert True 
max 47, min 6, split 18, vert False 
max 47, min 6, split 14, vert False 
max 23, min 6, split 13, vert True 
max 65, min 6, split 53, vert True 
max 39, min 6, split 16, vert False 
max 84, min 6, split 37, vert True 
max 49, min 6, split 48, vert False 
max 49, min 6, split 17, vert False 
max 26, min 6, split 22, vert True 
max 62, min 6, split 11, vert True 
max 68, min 6, split 33, vert True 
max 20, min 6, split 19, vert True 
max 42, min 6, split 36, vert True 
